         time,   Ax,   Ay,   Az,    T,   Gx,   Gy,   Gz,
1555086219445,00074,00038,02152,03729,00023,65534,00039,
1555086219518,00074,00047,02152,03723,00022,65530,00034,
1555086219520,00068,00043,02160,03730,00021,65530,00035,
1555086219593,00076,00038,02157,03730,00021,65533,00037,
1555086219595,00069,00039,02152,03733,00022,65532,00037,
1555086219596,00066,00038,02146,03729,00022,65532,00037,
1555086219669,00073,00041,02149,03730,00022,65531,00034,
1555086219670,00073,00039,02149,03731,00022,65531,00034,
1555086219743,00075,00040,02147,03736,00022,00000,00038,
1555086219745,00063,00042,02166,03739,00023,65535,00038,
1555086219746,00067,00044,02157,03736,00023,65535,00037,
1555086219819,00068,00038,02166,03735,00022,65534,00038,
1555086219820,00070,00040,02166,03733,00022,65533,00038,
1555086219893,00073,00044,02157,03734,00022,65533,00036,
1555086219895,00071,00040,02157,03732,00022,65533,00036,
1555086219896,00071,00044,02165,03737,00022,65533,00036,
1555086219969,00071,00048,02161,03726,00022,65531,00036,
1555086219970,00073,00045,02161,03727,00022,65531,00035,
1555086220043,00062,00038,02153,03743,00022,65530,00035,
1555086220045,00057,00032,02152,03745,00022,65529,00036,
1555086220046,00064,00037,02146,03744,00021,65528,00036,
1555086220119,00078,00043,02155,03733,00022,65529,00034,
1555086220121,00070,00041,02173,03733,00023,65529,00034,
1555086220269,00064,00036,02158,03744,00022,65534,00037,
1555086220270,00064,00039,02183,03742,00022,65533,00037,
1555086220343,00069,00040,02157,03742,00021,65532,00036,
1555086220345,00068,00038,02152,03738,00021,65532,00036,
1555086220346,00071,00035,02150,03733,00021,65531,00035,
1555086220419,00064,00038,02158,03737,00022,65529,00036,
1555086220420,00061,00038,02151,03742,00022,65530,00037,
1555086220493,00071,00041,02150,03739,00021,65531,00036,
1555086220495,00081,00039,02160,03744,00022,65530,00036,
1555086220496,00070,00036,02164,03744,00022,65530,00036,
1555086220569,00069,00030,02159,03737,00021,65532,00036,
1555086220570,00067,00037,02154,03736,00021,65532,00036,
1555086220643,00070,00035,02151,03732,00021,65534,00038,
1555086220645,00070,00032,02151,03735,00022,65535,00038,
1555086220646,00068,00034,02157,03733,00021,65535,00038,
1555086220719,00067,00033,02142,03734,00023,65532,00035,
1555086220720,00073,00038,02142,03734,00023,65532,00036,
1555086220793,00077,00033,02152,03738,00022,65529,00034,
1555086220795,00067,00034,02161,03738,00021,65530,00035,
1555086220868,00066,00040,02166,03737,00020,65533,00038,
1555086220870,00070,00035,02151,03736,00023,65532,00039,
1555086220871,00069,00035,02146,03737,00024,65532,00039,
1555086220944,00069,00034,02157,03733,00021,65531,00035,
1555086220945,00063,00039,02149,03730,00021,65531,00035,
1555086221018,00076,00041,02150,03741,00023,65533,00038,
1555086221020,00069,00044,02141,03742,00023,65533,00038,
1555086221021,00069,00045,02141,03739,00023,65533,00038,
1555086221094,00059,00045,02141,03739,00021,65533,00038,
1555086221095,00063,00046,02144,03738,00021,65534,00038,
1555086221243,00075,00036,02152,03746,00022,65529,00036,
1555086221245,00071,00032,02150,03745,00023,65529,00035,
1555086221246,00072,00032,02148,03745,00023,65529,00035,
1555086221319,00057,00039,02146,03750,00022,65530,00036,
1555086221320,00068,00035,02149,03752,00021,65530,00035,
1555086221393,00065,00045,02163,03748,00022,65531,00036,
1555086221470,00071,00040,02146,03742,00021,00000,00037,
1555086221471,00074,00043,02149,03742,00021,00000,00037,
1555086221619,00070,00044,02151,03751,00023,65532,00035,
1555086221621,00074,00049,02152,03746,00022,65531,00036,
1555086221694,00075,00035,02141,03742,00021,65531,00038,
1555086221695,00073,00038,02146,03743,00021,65532,00038,
1555086221768,00070,00036,02164,03737,00021,65531,00035,
1555086221770,00071,00041,02162,03742,00021,65531,00036,
1555086221771,00072,00035,02164,03742,00022,65531,00035,
1555086221844,00072,00044,02154,03738,00020,65532,00036,
1555086221845,00067,00042,02164,03740,00021,65532,00036,
1555086221918,00072,00034,02143,03738,00020,65533,00037,
1555086221920,00065,00036,02153,03739,00021,65535,00039,
1555086221921,00070,00035,02146,03737,00022,65535,00039,
1555086221994,00074,00048,02163,03751,00021,65534,00038,
1555086221995,00071,00042,02159,03748,00022,65533,00038,
1555086222069,00073,00044,02147,03743,00021,65534,00038,
1555086222070,00076,00042,02149,03745,00021,65534,00038,
1555086222143,00071,00037,02148,03741,00022,65531,00036,
1555086222145,00068,00035,02149,03744,00022,65532,00036,
1555086222146,00063,00033,02140,03744,00021,65532,00035,
1555086222219,00069,00040,02153,03735,00022,65534,00034,
1555086222221,00065,00039,02171,03745,00022,65533,00034,
1555086222369,00069,00047,02158,03755,00023,65530,00035,
1555086222370,00070,00044,02162,03759,00023,65531,00037,
1555086222443,00071,00037,02157,03749,00022,65531,00035,
1555086222445,00075,00033,02163,03741,00021,65531,00035,
1555086222446,00072,00037,02165,03744,00022,65531,00035,
1555086222519,00072,00042,02143,03755,00022,65532,00037,
1555086222520,00076,00042,02145,03754,00022,65532,00037,
1555086222593,00073,00040,02147,03749,00021,65532,00036,
1555086222820,00073,00038,02164,03746,00023,65532,00037,
1555086222821,00070,00037,02153,03748,00022,65531,00037,
1555086222894,00071,00037,02156,03752,00020,65533,00035,
1555086222895,00074,00031,02163,03755,00021,65533,00036,
1555086222968,00068,00038,02161,03751,00021,65532,00034,
1555086223045,00066,00042,02146,03754,00021,65534,00037,
1555086223046,00072,00041,02146,03749,00021,65534,00037,
1555086223194,00068,00040,02154,03747,00022,65532,00038,
1555086223195,00068,00039,02151,03747,00023,65532,00039,
1555086223269,00064,00045,02153,03746,00022,65532,00037,
1555086223270,00070,00043,02151,03750,00023,65532,00036,
1555086223343,00072,00038,02153,03754,00021,65534,00037,
1555086223345,00067,00043,02156,03752,00021,65533,00038,
1555086223346,00068,00038,02159,03757,00022,65534,00037,
1555086223419,00071,00046,02156,03755,00021,65534,00039,
1555086223420,00067,00046,02151,03752,00022,65534,00039,
1555086223493,00072,00034,02162,03744,00022,65535,00038,
1555086223495,00067,00039,02153,03749,00023,65535,00038,
1555086223496,00066,00044,02156,03749,00023,65534,00039,
1555086223569,00074,00029,02152,03754,00023,65530,00035,
1555086223570,00072,00032,02156,03753,00022,65530,00035,
1555086223643,00067,00041,02144,03750,00021,65531,00035,
1555086223719,00064,00039,02150,03750,00024,65535,00038,
1555086223720,00064,00039,02150,03752,00024,65535,00037,
1555086223793,00076,00041,02154,03749,00021,65531,00036,
1555086223870,00067,00035,02154,03751,00022,65532,00036,
1555086223871,00068,00035,02154,03749,00023,65532,00036,
1555086223944,00068,00043,02153,03758,00022,65533,00035,
1555086223946,00072,00039,02159,03752,00022,65532,00036,
1555086224019,00073,00044,02161,03756,00022,65533,00037,
1555086224020,00071,00046,02146,03758,00022,65534,00037,
1555086224093,00077,00036,02146,03758,00021,65530,00035,
1555086224095,00078,00036,02156,03766,00020,65531,00035,
1555086224096,00073,00032,02149,03769,00020,65532,00035,
1555086224169,00068,00038,02151,03760,00021,65531,00034,
1555086224170,00069,00037,02155,03758,00021,65531,00034,
1555086224243,00059,00039,02150,03754,00022,65535,00037,
1555086224245,00071,00045,02152,03757,00022,65534,00037,
1555086224246,00066,00038,02150,03758,00022,65534,00037,
1555086224319,00067,00035,02154,03753,00023,65532,00037,
1555086224320,00070,00040,02151,03753,00023,65533,00036,
1555086224393,00074,00041,02154,03754,00023,65532,00037,
1555086224394,00071,00047,02154,03751,00022,65532,00038,
1555086224396,00070,00041,02144,03752,00022,65533,00037,
1555086224469,00068,00041,02149,03752,00021,65532,00035,
1555086224470,00068,00039,02156,03756,00022,65532,00035,
1555086224543,00069,00039,02152,03756,00021,65532,00038,
1555086224619,00068,00039,02155,03753,00019,65532,00037,
1555086224621,00077,00037,02150,03757,00020,65533,00038,
1555086224694,00067,00037,02150,03762,00022,65530,00036,
1555086224695,00079,00037,02149,03757,00021,65530,00036,
1555086224768,00069,00036,02158,03763,00023,65532,00037,
1555086224769,00065,00038,02157,03762,00022,65532,00037,
1555086224771,00072,00046,02149,03754,00022,65532,00037,
1555086224919,00070,00038,02147,03760,00024,00000,00039,
1555086224920,00072,00040,02150,03761,00023,00000,00039,
1555086224993,00071,00036,02138,03759,00023,65530,00037,
1555086224994,00072,00028,02144,03757,00023,65531,00037,
1555086224996,00070,00031,02147,03758,00023,65531,00037,
1555086225069,00066,00036,02172,03762,00020,65529,00033,
1555086225070,00067,00034,02173,03760,00020,65529,00033,
1555086225143,00066,00044,02158,03765,00021,65532,00035,
